cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.16995591,0.0,0.0
PYR,6.0,False,5,0.1634286,0.0,0.0
PYR,8.485281,False,5,0.15702495,0.0,0.0
PYR,12.0,False,5,0.14463511,0.0,0.0
PYR,13.416408,False,5,0.13866659,0.0,0.0
PYR,16.970562,False,5,0.12175034,0.0,0.0
PYR,18.0,False,5,0.116447434,0.0,0.0
PYR,18.973665,False,5,0.11132737,0.0,0.0
PYR,21.633308,False,5,0.09701849,0.0,0.0
PYR,24.0,False,5,0.084227726,0.0,0.0
PYR,24.738634,False,5,0.080309995,0.0,0.0
PYR,25.455845,False,5,0.07657558,0.0,0.0
PYR,26.832815,False,5,0.069507904,0.0,0.0
PYR,30.0,False,5,0.05442703,0.0,0.0
PYR,30.594116,False,5,0.051779047,0.0,0.0
PYR,32.31099,False,5,0.044713795,0.0,0.0
PYR,33.941124,False,5,0.03870946,0.0,0.0
PYR,34.98571,False,5,0.035147123,0.0,0.0
PYR,36.0,False,5,0.031856492,0.0,0.0
PYR,36.496574,False,5,0.030418083,0.0,0.0
PYR,37.94733,False,5,0.026569717,0.0,0.0
PYR,38.418747,False,5,0.025547184,0.0,0.0
PYR,40.24922,False,5,0.021504633,0.0,0.0
PYR,42.0,False,5,0.018195078,0.0,0.0
PYR,42.426407,False,5,0.017640337,0.0,0.0
PYR,43.266617,False,5,0.016564146,0.0,0.0
PYR,43.68066,False,5,0.015805207,0.0,0.0
PYR,45.694637,False,5,0.013515219,0.0,0.0
PYR,46.8615,False,5,0.0125833675,0.0,0.0
PYR,48.0,False,5,0.011171162,0.0,0.0
PYR,48.373547,False,5,0.011054896,0.0,0.0
PYR,49.47727,False,5,0.010151669,0.0,0.0
PYR,50.91169,False,5,0.0096741915,0.0,0.0
PYR,51.264023,False,5,0.009123862,0.0,0.0
PYR,51.613953,False,5,0.009210177,0.0,0.0
PYR,53.66563,False,5,0.008029759,0.0,0.0
PYR,54.0,False,5,0.007528022,0.0,0.0
PYR,54.33231,False,5,0.007407628,0.0,0.0
PYR,55.31727,False,5,0.007356748,0.0,0.0
PYR,56.603886,False,5,0.007064268,0.0,0.0
PYR,56.920998,False,5,0.0066445842,0.0,0.0
PYR,59.093147,False,5,0.0062320605,0.0,0.0
PYR,59.39697,False,5,0.0065886676,0.0,0.0
PYR,60.0,False,5,0.006198039,0.0,0.0
PYR,60.299255,False,5,0.0057572126,0.0,0.0
PYR,61.188232,False,5,0.0056814775,0.0,0.0
PYR,61.77378,False,5,0.0059768558,0.0,0.0
PYR,62.641838,False,5,0.005618803,0.0,0.0
PYR,63.780876,False,5,0.0061417446,0.0,0.0
PYR,64.62198,False,5,0.0056328103,0.0,0.0
PYR,64.899925,False,5,0.0059534907,0.0,0.0
PYR,66.0,False,5,0.005577177,0.0,0.0
PYR,66.27216,False,5,0.0055839494,0.0,0.0
PYR,67.08204,False,5,0.005680982,0.0,0.0
PYR,67.88225,False,5,0.006181255,0.0,0.0
PYR,68.41052,False,5,0.0058835186,0.0,0.0
PYR,69.97142,False,5,0.0059288517,0.0,0.0
PYR,70.2282,False,5,0.005746208,0.0,0.0
PYR,72.0,False,5,0.0061316043,0.0,0.0
PYR,72.249565,False,5,0.006163463,0.0,0.0
PYR,72.498276,False,5,0.00581038,0.0,0.0
PYR,72.99315,False,5,0.0060815066,0.0,0.0
