cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.9967769,0.0,0.0
PYR,6.0,False,5,0.9783535,0.0,0.0
PYR,8.485281,False,5,0.9601982,0.0,0.0
PYR,12.0,False,5,0.924734,0.0,0.0
PYR,13.416408,False,5,0.90742004,0.0,0.0
PYR,16.970562,False,5,0.85718364,0.0,0.0
PYR,18.0,False,5,0.8410301,0.0,0.0
PYR,18.973665,False,5,0.8251402,0.0,0.0
PYR,21.633308,False,5,0.7791799,0.0,0.0
PYR,24.0,False,5,0.73578227,0.0,0.0
PYR,24.738634,False,5,0.72184396,0.0,0.0
PYR,25.455845,False,5,0.70812976,0.0,0.0
PYR,26.832815,False,5,0.68161535,0.0,0.0
PYR,30.0,False,5,0.61971766,0.0,0.0
PYR,30.594116,False,5,0.608139,0.0,0.0
PYR,32.31099,False,5,0.5745534,0.0,0.0
PYR,33.941124,False,5,0.542907,0.0,0.0
PYR,34.98571,False,5,0.52299255,0.0,0.0
PYR,36.0,False,5,0.5040591,0.0,0.0
PYR,36.496574,False,5,0.49475807,0.0,0.0
PYR,37.94733,False,5,0.46797222,0.0,0.0
PYR,38.418747,False,5,0.45920488,0.0,0.0
PYR,40.24922,False,5,0.42682824,0.0,0.0
PYR,42.0,False,5,0.39721507,0.0,0.0
PYR,42.426407,False,5,0.3898786,0.0,0.0
PYR,43.266617,False,5,0.3757519,0.0,0.0
PYR,43.68066,False,5,0.36940655,0.0,0.0
PYR,45.694637,False,5,0.33754224,0.0,0.0
PYR,46.8615,False,5,0.3195375,0.0,0.0
PYR,48.0,False,5,0.3038262,0.0,0.0
PYR,48.373547,False,5,0.29807657,0.0,0.0
PYR,49.47727,False,5,0.28285232,0.0,0.0
PYR,50.91169,False,5,0.26260352,0.0,0.0
PYR,51.264023,False,5,0.25872278,0.0,0.0
PYR,51.613953,False,5,0.2535804,0.0,0.0
PYR,53.66563,False,5,0.22847429,0.0,0.0
PYR,54.0,False,5,0.22562584,0.0,0.0
PYR,54.33231,False,5,0.22166803,0.0,0.0
PYR,55.31727,False,5,0.20948459,0.0,0.0
PYR,56.603886,False,5,0.19494471,0.0,0.0
PYR,56.920998,False,5,0.19253197,0.0,0.0
PYR,59.093147,False,5,0.1704034,0.0,0.0
PYR,59.39697,False,5,0.16643983,0.0,0.0
PYR,60.0,False,5,0.16185695,0.0,0.0
PYR,60.299255,False,5,0.16076705,0.0,0.0
PYR,61.188232,False,5,0.15270361,0.0,0.0
PYR,61.77378,False,5,0.14597595,0.0,0.0
PYR,62.641838,False,5,0.14025617,0.0,0.0
PYR,63.780876,False,5,0.12916598,0.0,0.0
PYR,64.62198,False,5,0.12472698,0.0,0.0
PYR,64.899925,False,5,0.12135705,0.0,0.0
PYR,66.0,False,5,0.11750269,0.0,0.0
PYR,66.27216,False,5,0.11559942,0.0,0.0
PYR,67.08204,False,5,0.10885564,0.0,0.0
PYR,67.88225,False,5,0.10119122,0.0,0.0
PYR,68.41052,False,5,0.099951796,0.0,0.0
PYR,69.97142,False,5,0.090328954,0.0,0.0
PYR,70.2282,False,5,0.09099692,0.0,0.0
PYR,72.0,False,5,0.08562067,0.0,0.0
PYR,72.249565,False,5,0.0811415,0.0,0.0
PYR,72.498276,False,5,0.07924123,0.0,0.0
PYR,72.99315,False,5,0.08059582,0.0,0.0
PYR,73.239334,False,5,0.07404767,0.0,0.0
PYR,74.215904,False,5,0.07480646,0.0,0.0
PYR,75.17979,False,5,0.06728047,0.0,0.0
PYR,75.89466,False,5,0.06752515,0.0,0.0
PYR,76.36753,False,5,0.060901806,0.0,0.0
PYR,76.837494,False,5,0.059546806,0.0,0.0
PYR,78.0,False,5,0.061335143,0.0,0.0
PYR,78.23043,False,5,0.060100958,0.0,0.0
PYR,78.91768,False,5,0.061676264,0.0,0.0
PYR,80.04999,False,5,0.057562187,0.0,0.0
PYR,80.49844,False,5,0.05101823,0.0,0.0
PYR,80.72174,False,5,0.047227047,0.0,0.0
PYR,81.608826,False,5,0.048970837,0.0,0.0
PYR,83.35467,False,5,0.042935617,0.0,0.0
PYR,83.57033,False,5,0.046467215,0.0,0.0
PYR,84.0,False,5,0.053970918,0.0,0.0
PYR,84.21401,False,5,0.05326345,0.0,0.0
PYR,84.85281,False,5,0.046538386,0.0,0.0
PYR,85.276024,False,5,0.036717758,0.0,0.0
PYR,85.90693,False,5,0.044167697,0.0,0.0
PYR,86.53323,False,5,0.035527878,0.0,0.0
PYR,87.36132,False,5,0.043887906,0.0,0.0
PYR,88.588936,False,5,0.03435673,0.0,0.0
PYR,89.19641,False,5,0.03430364,0.0,0.0
PYR,90.0,False,5,0.033308286,-9.0,-9.0
PYR,90.199776,False,5,0.04973869,-45.0,-45.0
PYR,90.79648,False,5,0.047865525,-45.0,-45.0
PYR,91.389275,False,5,0.03432613,0.0,0.0
PYR,91.58602,False,5,0.028790705,0.0,0.0
PYR,91.78235,False,5,0.044929132,-45.0,-45.0
PYR,93.14505,False,5,0.041175902,-45.0,-45.0
PYR,93.3381,False,5,0.023579717,0.0,0.0
PYR,93.723,False,5,0.02359739,0.0,0.0
PYR,93.914856,False,5,0.02948492,0.0,0.0
PYR,94.86833,False,5,0.028197354,-15.0,-15.0
PYR,96.74709,False,5,0.024937227,0.0,0.0
PYR,96.93297,False,5,0.032384366,-45.0,-45.0
PYR,97.67292,False,5,0.01922971,0.0,0.0
PYR,98.40732,False,5,0.019641891,0.0,0.0
PYR,99.31767,False,5,0.027908593,-45.0,-45.0
PYR,99.8599,False,5,0.020854928,0.0,0.0
PYR,101.82338,False,5,0.015913695,0.0,0.0
PYR,102.0,False,5,0.023686513,-45.0,-45.0
PYR,102.176315,False,5,0.016224965,0.0,0.0
PYR,103.227905,False,5,0.017346278,0.0,0.0
PYR,104.95713,False,5,0.01987876,-45.0,-45.0
PYR,106.15083,False,5,0.0136022195,0.0,0.0
PYR,106.826965,False,5,0.014467441,0.0,0.0
PYR,108.16654,False,5,0.01659438,-45.0,-45.0
