cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,0.25294262,0.0,0.0
PYR,6.0,False,5,0.24556546,0.0,0.0
PYR,8.485281,False,5,0.23833945,0.0,0.0
PYR,12.0,False,5,0.22436653,0.0,0.0
PYR,13.416408,False,5,0.21762624,0.0,0.0
PYR,16.970562,False,5,0.19842562,0.0,0.0
PYR,18.0,False,5,0.19236977,0.0,0.0
PYR,18.973665,False,5,0.18648197,0.0,0.0
PYR,21.633308,False,5,0.16982788,0.0,0.0
PYR,24.0,False,5,0.15464094,0.0,0.0
PYR,24.738634,False,5,0.14988956,0.0,0.0
PYR,25.455845,False,5,0.1452865,0.0,0.0
PYR,26.832815,False,5,0.13652329,0.0,0.0
PYR,30.0,False,5,0.1169902,0.0,0.0
PYR,30.594116,False,5,0.1134631,0.0,0.0
PYR,32.31099,False,5,0.103566,0.0,0.0
PYR,33.941124,False,5,0.0946268,0.0,0.0
PYR,34.98571,False,5,0.08915432,0.0,0.0
PYR,36.0,False,5,0.08403893,0.0,0.0
PYR,36.496574,False,5,0.08160784,0.0,0.0
PYR,37.94733,False,5,0.074780755,0.0,0.0
PYR,38.418747,False,5,0.07265133,0.0,0.0
PYR,40.24922,False,5,0.06479071,0.0,0.0
PYR,42.0,False,5,0.057862893,0.0,0.0
PYR,42.426407,False,5,0.056261808,0.0,0.0
PYR,43.266617,False,5,0.0531983,0.0,0.0
PYR,43.68066,False,5,0.051731788,0.0,0.0
PYR,45.694637,False,5,0.045004614,0.0,0.0
PYR,46.8615,False,5,0.041397095,0.0,0.0
PYR,48.0,False,5,0.03806457,0.0,0.0
PYR,48.373547,False,5,0.03701318,0.0,0.0
PYR,49.47727,False,5,0.03401369,0.0,0.0
PYR,50.91169,False,5,0.03035748,0.0,0.0
PYR,51.264023,False,5,0.029497564,0.0,0.0
PYR,51.613953,False,5,0.028661497,0.0,0.0
PYR,53.66563,False,5,0.024055764,0.0,0.0
PYR,54.0,False,5,0.023352131,0.0,0.0
PYR,54.33231,False,5,0.022667557,0.0,0.0
PYR,55.31727,False,5,0.0207153,0.0,0.0
PYR,56.603886,False,5,0.01833424,0.0,0.0
PYR,56.920998,False,5,0.017776236,0.0,0.0
PYR,59.093147,False,5,0.014262959,0.0,0.0
PYR,59.39697,False,5,0.013814211,0.0,0.0
PYR,60.0,False,5,0.012950987,0.0,0.0
PYR,60.299255,False,5,0.012537472,0.0,0.0
PYR,61.188232,False,5,0.011365481,0.0,0.0
PYR,61.77378,False,5,0.010638505,0.0,0.0
PYR,62.641838,False,5,0.009625539,0.0,0.0
PYR,63.780876,False,5,0.0084089935,0.0,0.0
PYR,64.62198,False,5,0.0075890794,0.0,0.0
PYR,64.899925,False,5,0.0073319674,0.0,0.0
PYR,66.0,False,5,0.006384477,0.0,0.0
PYR,66.27216,False,5,0.006165415,0.0,0.0
PYR,67.08204,False,5,0.0055486746,0.0,0.0
PYR,67.88225,False,5,0.0049904585,0.0,0.0
PYR,68.41052,False,5,0.0046479255,0.0,0.0
PYR,69.97142,False,5,0.0037481263,0.0,0.0
PYR,70.2282,False,5,0.003616266,0.0,0.0
PYR,72.0,False,5,0.002808705,0.0,0.0
PYR,72.249565,False,5,0.00270617,0.0,0.0
PYR,72.498276,False,5,0.0026073754,0.0,0.0
PYR,72.99315,False,5,0.0024262816,0.0,0.0
PYR,73.239334,False,5,0.0023356155,0.0,0.0
PYR,74.215904,False,5,0.0020188987,0.0,0.0
PYR,75.17979,False,5,0.0017399639,0.0,0.0
PYR,75.89466,False,5,0.001559034,0.0,0.0
PYR,76.36753,False,5,0.0014464259,0.0,0.0
PYR,76.837494,False,5,0.0013428107,0.0,0.0
PYR,78.0,False,5,0.0011202743,0.0,0.0
PYR,78.23043,False,5,0.0010806955,0.0,0.0
PYR,78.91768,False,5,0.0009719506,0.0,0.0
PYR,80.04999,False,5,0.00080649555,0.0,0.0
PYR,80.49844,False,5,0.0007410571,0.0,0.0
PYR,80.72174,False,5,0.00071341544,0.0,0.0
PYR,81.608826,False,5,0.0006176792,0.0,0.0
PYR,83.35467,False,5,0.00045612454,0.0,0.0
PYR,83.57033,False,5,0.00044375658,0.0,0.0
PYR,84.0,False,5,0.00045120716,0.0,0.0
PYR,84.21401,False,5,0.00043473393,0.0,0.0
PYR,84.85281,False,5,0.00037607053,0.0,0.0
PYR,85.276024,False,5,0.0003258139,0.0,0.0
PYR,85.90693,False,5,0.00030810758,0.0,0.0
PYR,86.53323,False,5,0.00026047975,0.0,0.0
PYR,87.36132,False,5,0.00024772435,0.0,0.0
PYR,88.588936,False,5,0.00018102676,0.0,0.0
PYR,89.19641,False,5,0.00016871095,0.0,0.0
PYR,90.0,False,5,0.00016575455,-9.0,-9.0
PYR,90.199776,False,5,0.00026643276,-45.0,-45.0
PYR,90.79648,False,5,0.00023800135,-45.0,-45.0
