cell_type,distance,inverse,size,dr,space[0],space[1]
PYR,0.0,False,5,1.1563911,0.0,0.0
PYR,6.0,False,5,1.1382508,0.0,0.0
PYR,8.485281,False,5,1.1197325,0.0,0.0
PYR,12.0,False,5,1.0818527,0.0,0.0
PYR,13.416408,False,5,1.0626131,0.0,0.0
PYR,16.970562,False,5,1.0043741,0.0,0.0
PYR,18.0,False,5,0.9849498,0.0,0.0
PYR,18.973665,False,5,0.9655682,0.0,0.0
PYR,21.633308,False,5,0.9080751,0.0,0.0
PYR,24.0,False,5,0.85209787,0.0,0.0
PYR,24.738634,False,5,0.8338609,0.0,0.0
PYR,25.455845,False,5,0.81585395,0.0,0.0
PYR,26.832815,False,5,0.78062755,0.0,0.0
PYR,30.0,False,5,0.6973849,0.0,0.0
PYR,30.594116,False,5,0.68161476,0.0,0.0
PYR,32.31099,False,5,0.6360643,0.0,0.0
PYR,33.941124,False,5,0.59318006,0.0,0.0
PYR,34.98571,False,5,0.56605905,0.0,0.0
PYR,36.0,False,5,0.54008025,0.0,0.0
PYR,36.496574,False,5,0.5275082,0.0,0.0
PYR,37.94733,False,5,0.4914109,0.0,0.0
PYR,38.418747,False,5,0.47990006,0.0,0.0
PYR,40.24922,False,5,0.4363659,0.0,0.0
PYR,42.0,False,5,0.3965798,0.0,0.0
PYR,42.426407,False,5,0.3871788,0.0,0.0
PYR,43.266617,False,5,0.36899444,0.0,0.0
PYR,43.68066,False,5,0.36021212,0.0,0.0
PYR,45.694637,False,5,0.31909654,0.0,0.0
PYR,46.8615,False,5,0.29653388,0.0,0.0
PYR,48.0,False,5,0.275458,0.0,0.0
PYR,48.373547,False,5,0.2687223,0.0,0.0
PYR,49.47727,False,5,0.24943021,0.0,0.0
PYR,50.91169,False,5,0.22560212,0.0,0.0
PYR,51.264023,False,5,0.22000176,0.0,0.0
PYR,51.613953,False,5,0.21448338,0.0,0.0
PYR,53.66563,False,5,0.18401423,0.0,0.0
PYR,54.0,False,5,0.1793802,0.0,0.0
PYR,54.33231,False,5,0.1748024,0.0,0.0
PYR,55.31727,False,5,0.16165888,0.0,0.0
PYR,56.603886,False,5,0.14554824,0.0,0.0
PYR,56.920998,False,5,0.14180638,0.0,0.0
PYR,59.093147,False,5,0.1177168,0.0,0.0
PYR,59.39697,False,5,0.114553526,0.0,0.0
PYR,60.0,False,5,0.108614065,0.0,0.0
PYR,60.299255,False,5,0.10582278,0.0,0.0
PYR,61.188232,False,5,0.09758296,0.0,0.0
PYR,61.77378,False,5,0.092333145,0.0,0.0
PYR,62.641838,False,5,0.08518748,0.0,0.0
PYR,63.780876,False,5,0.076260306,0.0,0.0
PYR,64.62198,False,5,0.07035035,0.0,0.0
PYR,64.899925,False,5,0.06836644,0.0,0.0
PYR,66.0,False,5,0.061533257,0.0,0.0
PYR,66.27216,False,5,0.059867278,0.0,0.0
PYR,67.08204,False,5,0.055037454,0.0,0.0
PYR,67.88225,False,5,0.050514102,0.0,0.0
PYR,68.41052,False,5,0.047941726,0.0,0.0
PYR,69.97142,False,5,0.04061158,0.0,0.0
PYR,70.2282,False,5,0.039666593,0.0,0.0
PYR,72.0,False,5,0.03314762,0.0,0.0
PYR,72.249565,False,5,0.031987373,0.0,0.0
PYR,72.498276,False,5,0.031031266,0.0,0.0
PYR,72.99315,False,5,0.02974502,0.0,0.0
PYR,73.239334,False,5,0.028484367,0.0,0.0
PYR,74.215904,False,5,0.025997557,0.0,0.0
PYR,75.17979,False,5,0.023060612,0.0,0.0
PYR,75.89466,False,5,0.021566048,0.0,0.0
PYR,76.36753,False,5,0.020065606,0.0,0.0
PYR,76.837494,False,5,0.019048892,0.0,0.0
PYR,78.0,False,5,0.017258862,0.0,0.0
PYR,78.23043,False,5,0.016818106,0.0,0.0
PYR,78.91768,False,5,0.016007379,0.0,0.0
PYR,80.04999,False,5,0.014090195,0.0,0.0
PYR,80.49844,False,5,0.01281134,0.0,0.0
PYR,80.72174,False,5,0.012238406,0.0,0.0
PYR,81.608826,False,5,0.011463895,0.0,0.0
PYR,83.35467,False,5,0.009249955,0.0,0.0
PYR,83.57033,False,5,0.009469882,0.0,0.0
PYR,84.0,False,5,0.010472387,0.0,0.0
PYR,84.21401,False,5,0.010225482,0.0,0.0
PYR,84.85281,False,5,0.00889353,0.0,0.0
PYR,85.276024,False,5,0.0073063895,0.0,0.0
PYR,85.90693,False,5,0.007874239,0.0,0.0
PYR,86.53323,False,5,0.0064463094,0.0,0.0
PYR,87.36132,False,5,0.007208541,0.0,0.0
PYR,88.588936,False,5,0.005398765,0.0,0.0
PYR,89.19641,False,5,0.0052959397,0.0,0.0
PYR,90.0,False,5,0.005172348,-9.0,-9.0
PYR,90.199776,False,5,0.008182451,-45.0,-45.0
PYR,90.79648,False,5,0.0076464117,-45.0,-45.0
PYR,91.389275,False,5,0.004644513,0.0,0.0
PYR,91.58602,False,5,0.0038856044,0.0,0.0
PYR,91.78235,False,5,0.0068407655,-45.0,-45.0
PYR,93.14505,False,5,0.005872369,-45.0,-45.0
PYR,93.3381,False,5,0.0029981732,0.0,0.0
PYR,93.723,False,5,0.0029175207,0.0,0.0
PYR,93.914856,False,5,0.0035464615,0.0,0.0
PYR,94.86833,False,5,0.003441006,-15.0,-15.0
PYR,96.74709,False,5,0.0026380569,0.0,0.0
PYR,96.93297,False,5,0.003874302,-45.0,-45.0
PYR,97.67292,False,5,0.0019382462,0.0,0.0
PYR,98.40732,False,5,0.0018988177,0.0,0.0
PYR,99.31767,False,5,0.0030019581,-45.0,-45.0
PYR,99.8599,False,5,0.0019225776,0.0,0.0
PYR,101.82338,False,5,0.0013067871,0.0,0.0
PYR,102.0,False,5,0.0022678375,-45.0,-45.0
PYR,102.176315,False,5,0.0013142899,0.0,0.0
PYR,103.227905,False,5,0.0013823733,0.0,0.0
PYR,104.95713,False,5,0.0016788393,-45.0,-45.0
PYR,106.15083,False,5,0.00092183053,0.0,0.0
PYR,106.826965,False,5,0.0009897649,0.0,0.0
PYR,108.16654,False,5,0.0012251735,-45.0,-45.0
PYR,110.308655,False,5,0.0006739944,0.0,0.0
PYR,110.63454,False,5,0.00071611255,0.0,0.0
PYR,111.60645,False,5,0.0008893609,-45.0,-45.0
PYR,114.62984,False,5,0.0005378872,0.0,0.0
PYR,115.25623,False,5,0.00065147877,-45.0,-45.0
PYR,118.79394,False,5,0.0004375726,0.0,0.0
PYR,119.096596,False,5,0.00049459934,-45.0,-45.0
PYR,123.10971,False,5,0.0004055202,-45.0,-45.0
PYR,127.27922,False,5,0.0003761649,-90.0,-90.0
PYR,0.0,False,15,1.1754909,0.0,0.0
PYR,6.0,False,15,1.1514256,0.0,0.0
PYR,8.485281,False,15,1.124646,0.0,0.0
PYR,12.0,False,15,1.0640645,0.0,0.0
PYR,13.416408,False,15,1.0308659,0.0,0.0
PYR,16.970562,False,15,0.9238061,0.0,0.0
PYR,18.0,False,15,0.8867035,0.0,0.0
PYR,18.973665,False,15,0.8493145,0.0,0.0
PYR,21.633308,False,15,0.7379613,0.0,0.0
PYR,24.0,False,15,0.63160264,0.0,0.0
PYR,24.738634,False,15,0.59785557,0.0,0.0
PYR,25.455845,False,15,0.5650563,0.0,0.0
PYR,26.832815,False,15,0.50280213,0.0,0.0
PYR,30.0,False,15,0.36708334,0.0,0.0
PYR,30.594116,False,15,0.34343174,0.0,0.0
PYR,32.31099,False,15,0.27898863,0.0,0.0
PYR,33.941124,False,15,0.223835,0.0,0.0
PYR,34.98571,False,15,0.19182229,0.0,0.0
PYR,36.0,False,15,0.16322054,0.0,0.0
PYR,36.496574,False,15,0.15014046,0.0,0.0
PYR,37.94733,False,15,0.11524048,0.0,0.0
PYR,38.418747,False,15,0.10495938,0.0,0.0
PYR,40.24922,False,15,0.06962102,0.0,0.0
PYR,42.0,False,15,0.04219596,0.0,0.0
PYR,42.426407,False,15,0.03644761,0.0,0.0
PYR,43.266617,False,15,0.026009575,0.0,0.0
PYR,43.68066,False,15,0.021218985,0.0,0.0
PYR,45.694637,False,15,0.0018991828,0.0,0.0
PYR,46.8615,False,15,-0.0067602694,0.0,0.0
PYR,48.0,False,15,-0.013926461,0.0,0.0
PYR,48.373547,False,15,-0.0158641,0.0,0.0
PYR,49.47727,False,15,-0.021074764,0.0,0.0
PYR,50.91169,False,15,-0.026170164,0.0,0.0
PYR,51.264023,False,15,-0.027342461,0.0,0.0
PYR,51.613953,False,15,-0.028223254,0.0,0.0
PYR,53.66563,False,15,-0.0325848,0.0,0.0
PYR,54.0,False,15,-0.033279598,0.0,0.0
PYR,54.33231,False,15,-0.033720836,0.0,0.0
PYR,55.31727,False,15,-0.03465557,0.0,0.0
PYR,56.603886,False,15,-0.035481222,0.0,0.0
PYR,56.920998,False,15,-0.035778485,0.0,0.0
PYR,59.093147,False,15,-0.036041982,0.0,0.0
PYR,59.39697,False,15,-0.035837308,0.0,0.0
PYR,60.0,False,15,-0.03588992,0.0,0.0
PYR,60.299255,False,15,-0.036096446,0.0,0.0
PYR,61.188232,False,15,-0.03572397,0.0,0.0
PYR,61.77378,False,15,-0.0351217,0.0,0.0
PYR,62.641838,False,15,-0.034885623,0.0,0.0
PYR,63.780876,False,15,-0.0337198,0.0,0.0
PYR,64.62198,False,15,-0.033378653,0.0,0.0
PYR,64.899925,False,15,-0.032900482,0.0,0.0
PYR,66.0,False,15,-0.032722726,0.0,0.0
PYR,66.27216,False,15,-0.032452993,0.0,0.0
PYR,67.08204,False,15,-0.03135492,0.0,0.0
PYR,67.88225,False,15,-0.030026034,0.0,0.0
PYR,68.41052,False,15,-0.029866178,0.0,0.0
PYR,69.97142,False,15,-0.028010122,0.0,0.0
PYR,70.2282,False,15,-0.028167956,0.0,0.0
PYR,72.0,False,15,-0.027145758,0.0,0.0
PYR,72.249565,False,15,-0.026075728,0.0,0.0
PYR,72.498276,False,15,-0.025536276,0.0,0.0
PYR,72.99315,False,15,-0.025920078,0.0,0.0
PYR,73.239334,False,15,-0.024311863,0.0,0.0
PYR,74.215904,False,15,-0.024419017,0.0,0.0
PYR,75.17979,False,15,-0.022415109,0.0,0.0
PYR,75.89466,False,15,-0.022387303,0.0,0.0
PYR,76.36753,False,15,-0.020708576,0.0,0.0
PYR,76.837494,False,15,-0.020256624,0.0,0.0
PYR,78.0,False,15,-0.020518875,0.0,0.0
PYR,78.23043,False,15,-0.020204645,0.0,0.0
PYR,78.91768,False,15,-0.02056595,0.0,0.0
PYR,80.04999,False,15,-0.019194193,0.0,0.0
PYR,80.49844,False,15,-0.017160289,0.0,0.0
PYR,80.72174,False,15,-0.016183726,0.0,0.0
PYR,81.608826,False,15,-0.016438484,0.0,0.0
PYR,83.35467,False,15,-0.014285214,0.0,0.0
PYR,83.57033,False,15,-0.015280925,0.0,0.0
PYR,84.0,False,15,-0.017899662,0.0,0.0
PYR,84.21401,False,15,-0.017635584,0.0,0.0
PYR,84.85281,False,15,-0.015383795,0.0,0.0
PYR,85.276024,False,15,-0.012159787,0.0,0.0
PYR,85.90693,False,15,-0.014326315,0.0,0.0
PYR,86.53323,False,15,-0.011482999,0.0,0.0
PYR,87.36132,False,15,-0.014084332,0.0,0.0
PYR,88.588936,False,15,-0.010708943,0.0,0.0
PYR,89.19641,False,15,-0.01075213,0.0,0.0
PYR,90.0,False,15,-0.010445917,-9.0,-9.0
PYR,90.199776,False,15,-0.016285375,-45.0,-45.0
PYR,90.79648,False,15,-0.015555844,-45.0,-45.0
PYR,91.389275,False,15,-0.010382004,0.0,0.0
PYR,91.58602,False,15,-0.008540273,0.0,0.0
PYR,91.78235,False,15,-0.014407203,-45.0,-45.0
PYR,93.14505,False,15,-0.012933448,-45.0,-45.0
PYR,93.3381,False,15,-0.006801054,0.0,0.0
PYR,93.723,False,15,-0.0067273006,0.0,0.0
PYR,93.914856,False,15,-0.008507259,0.0,0.0
PYR,94.86833,False,15,-0.008156692,-15.0,-15.0
PYR,96.74709,False,15,-0.0067658573,0.0,0.0
PYR,96.93297,False,15,-0.009493992,-45.0,-45.0
PYR,97.67292,False,15,-0.0049615353,0.0,0.0
PYR,98.40732,False,15,-0.0049833283,0.0,0.0
PYR,99.31767,False,15,-0.0077681243,-45.0,-45.0
PYR,99.8599,False,15,-0.0052355975,0.0,0.0
PYR,101.82338,False,15,-0.0036365092,0.0,0.0
PYR,102.0,False,15,-0.0061763525,-45.0,-45.0
PYR,102.176315,False,15,-0.0036921352,0.0,0.0
PYR,103.227905,False,15,-0.0039616525,0.0,0.0
PYR,104.95713,False,15,-0.004782006,-45.0,-45.0
PYR,106.15083,False,15,-0.0027325451,0.0,0.0
PYR,106.826965,False,15,-0.0029564127,0.0,0.0
PYR,108.16654,False,15,-0.0036268532,-45.0,-45.0
PYR,110.308655,False,15,-0.0020779818,0.0,0.0
PYR,110.63454,False,15,-0.0022095218,0.0,0.0
PYR,111.60645,False,15,-0.002715975,-45.0,-45.0
PYR,114.62984,False,15,-0.0017001405,0.0,0.0
PYR,115.25623,False,15,-0.0020387024,-45.0,-45.0
PYR,118.79394,False,15,-0.0014065355,0.0,0.0
PYR,119.096596,False,15,-0.0015776157,-45.0,-45.0
PYR,123.10971,False,15,-0.0013102144,-45.0,-45.0
PYR,127.27922,False,15,-0.0012222528,-90.0,-90.0
PYR,0.0,False,25,0.60128397,0.0,0.0
PYR,6.0,False,25,0.55416954,0.0,0.0
PYR,8.485281,False,25,0.50716984,0.0,0.0
PYR,12.0,False,25,0.41439918,0.0,0.0
PYR,13.416408,False,25,0.3691063,0.0,0.0
PYR,16.970562,False,25,0.2407103,0.0,0.0
PYR,18.0,False,25,0.20106974,0.0,0.0
PYR,18.973665,False,25,0.16324979,0.0,0.0
PYR,21.633308,False,25,0.06147433,0.0,0.0
PYR,24.0,False,25,-0.022388577,0.0,0.0
PYR,24.738634,False,25,-0.04646387,0.0,0.0
PYR,25.455845,False,25,-0.06873843,0.0,0.0
PYR,26.832815,False,25,-0.10800268,0.0,0.0
PYR,30.0,False,25,-0.17950125,0.0,0.0
PYR,30.594116,False,25,-0.18983515,0.0,0.0
PYR,32.31099,False,25,-0.21443185,0.0,0.0
PYR,33.941124,False,25,-0.23073936,0.0,0.0
PYR,34.98571,False,25,-0.23774672,0.0,0.0
PYR,36.0,False,25,-0.24219522,0.0,0.0
PYR,36.496574,False,25,-0.24355318,0.0,0.0
PYR,37.94733,False,25,-0.24473885,0.0,0.0
PYR,38.418747,False,25,-0.24428558,0.0,0.0
PYR,40.24922,False,25,-0.23908634,0.0,0.0
PYR,42.0,False,25,-0.22981021,0.0,0.0
PYR,42.426407,False,25,-0.22698432,0.0,0.0
PYR,43.266617,False,25,-0.22094093,0.0,0.0
PYR,43.68066,False,25,-0.21780725,0.0,0.0
PYR,45.694637,False,25,-0.20076811,0.0,0.0
PYR,46.8615,False,25,-0.19004478,0.0,0.0
PYR,48.0,False,25,-0.17954025,0.0,0.0
PYR,48.373547,False,25,-0.17596792,0.0,0.0
PYR,49.47727,False,25,-0.16566399,0.0,0.0
PYR,50.91169,False,25,-0.15234494,0.0,0.0
PYR,51.264023,False,25,-0.14932051,0.0,0.0
PYR,51.613953,False,25,-0.14611946,0.0,0.0
PYR,53.66563,False,25,-0.1289162,0.0,0.0
PYR,54.0,False,25,-0.12646547,0.0,0.0
PYR,54.33231,False,25,-0.12386974,0.0,0.0
PYR,55.31727,False,25,-0.116313264,0.0,0.0
PYR,56.603886,False,25,-0.10722345,0.0,0.0
PYR,56.920998,False,25,-0.105300024,0.0,0.0
PYR,59.093147,False,25,-0.09198528,0.0,0.0
PYR,59.39697,False,25,-0.09007539,0.0,0.0
PYR,60.0,False,25,-0.08703121,0.0,0.0
PYR,60.299255,False,25,-0.08582617,0.0,0.0
PYR,61.188232,False,25,-0.081317574,0.0,0.0
PYR,61.77378,False,25,-0.07812049,0.0,0.0
PYR,62.641838,False,25,-0.07451529,0.0,0.0
PYR,63.780876,False,25,-0.069188334,0.0,0.0
PYR,64.62198,False,25,-0.06625721,0.0,0.0
PYR,64.899925,False,25,-0.06486919,0.0,0.0
PYR,66.0,False,25,-0.06186363,0.0,0.0
PYR,66.27216,False,25,-0.06088362,0.0,0.0
PYR,67.08204,False,25,-0.057693943,0.0,0.0
PYR,67.88225,False,25,-0.054380566,0.0,0.0
PYR,68.41052,False,25,-0.053231042,0.0,0.0
PYR,69.97142,False,25,-0.04833556,0.0,0.0
PYR,70.2282,False,25,-0.048193924,0.0,0.0
PYR,72.0,False,25,-0.04471661,0.0,0.0
PYR,72.249565,False,25,-0.04300423,0.0,0.0
PYR,72.498276,False,25,-0.042014346,0.0,0.0
PYR,72.99315,False,25,-0.042074956,0.0,0.0
PYR,73.239334,False,25,-0.039657533,0.0,0.0
PYR,74.215904,False,25,-0.038991623,0.0,0.0
PYR,75.17979,False,25,-0.03554707,0.0,0.0
PYR,75.89466,False,25,-0.03504522,0.0,0.0
PYR,76.36753,False,25,-0.032467276,0.0,0.0
PYR,76.837494,False,25,-0.031584777,0.0,0.0
PYR,78.0,False,25,-0.031372815,0.0,0.0
PYR,78.23043,False,25,-0.03084502,0.0,0.0
PYR,78.91768,False,25,-0.031066462,0.0,0.0
PYR,80.04999,False,25,-0.028750792,0.0,0.0
PYR,80.49844,False,25,-0.02577418,0.0,0.0
PYR,80.72174,False,25,-0.02436158,0.0,0.0
PYR,81.608826,False,25,-0.02446086,0.0,0.0
PYR,83.35467,False,25,-0.021057867,0.0,0.0
PYR,83.57033,False,25,-0.022400483,0.0,0.0
PYR,84.0,False,25,-0.02606307,0.0,0.0
PYR,84.21401,False,25,-0.025653936,0.0,0.0
PYR,84.85281,False,25,-0.022376388,0.0,0.0
PYR,85.276024,False,25,-0.017768875,0.0,0.0
PYR,85.90693,False,25,-0.020722356,0.0,0.0
PYR,86.53323,False,25,-0.016650274,0.0,0.0
PYR,87.36132,False,25,-0.020226166,0.0,0.0
PYR,88.588936,False,25,-0.015351787,0.0,0.0
PYR,89.19641,False,25,-0.015381537,0.0,0.0
PYR,90.0,False,25,-0.01494872,-9.0,-9.0
PYR,90.199776,False,25,-0.02334784,-45.0,-45.0
PYR,90.79648,False,25,-0.022255555,-45.0,-45.0
PYR,91.389275,False,25,-0.014719747,0.0,0.0
PYR,91.58602,False,25,-0.012117714,0.0,0.0
PYR,91.78235,False,25,-0.02054581,-45.0,-45.0
PYR,93.14505,False,25,-0.018370569,-45.0,-45.0
PYR,93.3381,False,25,-0.009617522,0.0,0.0
PYR,93.723,False,25,-0.009495877,0.0,0.0
PYR,93.914856,False,25,-0.011980094,0.0,0.0
PYR,94.86833,False,25,-0.011495377,-15.0,-15.0
PYR,96.74709,False,25,-0.0094628185,0.0,0.0
PYR,96.93297,False,25,-0.013353869,-45.0,-45.0
PYR,97.67292,False,25,-0.0069234744,0.0,0.0
PYR,98.40732,False,25,-0.0069371387,0.0,0.0
PYR,99.31767,False,25,-0.010867551,-45.0,-45.0
PYR,99.8599,False,25,-0.0072720125,0.0,0.0
PYR,101.82338,False,25,-0.0050196648,0.0,0.0
PYR,102.0,False,25,-0.008591846,-45.0,-45.0
PYR,102.176315,False,25,-0.0050919876,0.0,0.0
PYR,103.227905,False,25,-0.0054609776,0.0,0.0
PYR,104.95713,False,25,-0.006612718,-45.0,-45.0
PYR,106.15083,False,25,-0.0037293434,0.0,0.0
PYR,106.826965,False,25,-0.004039243,0.0,0.0
PYR,108.16654,False,25,-0.004980013,-45.0,-45.0
PYR,110.308655,False,25,-0.002807498,0.0,0.0
PYR,110.63454,False,25,-0.0029888079,0.0,0.0
PYR,111.60645,False,25,-0.0036967844,-45.0,-45.0
PYR,114.62984,False,25,-0.002275169,0.0,0.0
PYR,115.25623,False,25,-0.0027481467,-45.0,-45.0
PYR,118.79394,False,25,-0.0018649697,0.0,0.0
PYR,119.096596,False,25,-0.0021023452,-45.0,-45.0
PYR,123.10971,False,25,-0.0017299652,-45.0,-45.0
PYR,127.27922,False,25,-0.0016088486,-90.0,-90.0
PYR,0.0,False,35,0.4398846,0.0,0.0
PYR,6.0,False,35,0.4227921,0.0,0.0
PYR,8.485281,False,35,0.40402192,0.0,0.0
